DATE,ORG_CODE,GRADE_SORT_ORDER,GRADE,SPECIALITY_GROUP,SPECIALTY,FTE
30/09/2017,RPA,1,Consultant (including Directors of Public Health),General medicine group,Genito-urinary medicine,0.1
30/09/2017,RPA,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,6
30/09/2017,RR7,4,Staff Grade,Emergency Medicine,Emergency Medicine,1
30/09/2017,RR7,4,Staff Grade,General medicine group,Gastroenterology,1
30/09/2017,RR7,4,Staff Grade,General medicine group,General (internal) medicine,2
30/09/2017,RR7,4,Staff Grade,General medicine group,Geriatric medicine,3.6
30/09/2017,RR7,4,Staff Grade,General medicine group,Rheumatology,1
30/09/2017,RR7,4,Staff Grade,Obstetrics & gynaecology,Obstetrics and Gynaecology,4
30/09/2017,RR7,4,Staff Grade,Surgical group,General surgery,3
30/09/2017,RR7,4,Staff Grade,Surgical group,Trauma and orthopaedic surgery,3
30/09/2017,RR7,5,Specialty Registrar,Anaesthetics,Anaesthetics,7.4875
30/09/2017,RR7,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,10
30/09/2017,RR7,5,Specialty Registrar,General medicine group,Acute Internal Medicine,0.7
30/09/2017,RR7,5,Specialty Registrar,General medicine group,Cardiology,3
30/09/2017,RR7,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RR7,5,Specialty Registrar,General medicine group,Gastroenterology,3
30/09/2017,RR7,5,Specialty Registrar,General medicine group,Geriatric medicine,5.6
30/09/2017,RR7,5,Specialty Registrar,General medicine group,Medical oncology,3
30/09/2017,RR7,5,Specialty Registrar,General medicine group,Other,1
30/09/2017,RR7,5,Specialty Registrar,General medicine group,Respiratory medicine,2.7
30/09/2017,RJR,9,Hospital Practitioner / Clinical Assistant,General medicine group,General (internal) medicine,0.4
30/09/2017,RJR,9,Hospital Practitioner / Clinical Assistant,Paediatric group,Paediatrics,0.16455
30/09/2017,RJR,9,Hospital Practitioner / Clinical Assistant,Surgical group,Otolaryngology,0.13636
30/09/2017,RJR,10,Other and Local HCHS Doctor Grades,Surgical group,Trauma and orthopaedic surgery,1
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,52.18182
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Dental group,Additional dental specialties,1
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Dental group,Oral Surgery,3
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,1
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,13.375
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Acute Internal Medicine,6.8
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Allergy,0.45
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,22.1
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,2.65
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Endocrinology and diabetes mellitus,4.85
30/09/2017,RPA,1,Consultant (including Directors of Public Health),General medicine group,Neurology,4.90909
30/09/2017,RPA,1,Consultant (including Directors of Public Health),General medicine group,Respiratory medicine,3
30/09/2017,RPA,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,4.97364
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Obstetrics and Gynaecology,12.7
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,20.75
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Pathology group,Chemical pathology,1
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Pathology group,Haematology,3.6
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Pathology group,Medical microbiology,3
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,4.6
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Radiology group,Nuclear medicine,2
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Surgical group,General surgery,16.95
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,1
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,7
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,12
30/09/2017,RR7,5,Specialty Registrar,General medicine group,Rheumatology,3
30/09/2017,RR7,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,11.6
30/09/2017,RR7,5,Specialty Registrar,Paediatric group,Paediatrics,10.3
30/09/2017,RR7,5,Specialty Registrar,Pathology group,Histopathology,3
30/09/2017,RR7,5,Specialty Registrar,Pathology group,Medical microbiology,1
30/09/2017,RR7,5,Specialty Registrar,Psychiatry group,Old age psychiatry,2
30/09/2017,RR7,5,Specialty Registrar,Radiology group,Clinical radiology,3
30/09/2017,RR7,5,Specialty Registrar,Surgical group,General surgery,3
30/09/2017,RR7,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,6
30/09/2017,RR7,6,Core Training,Anaesthetics,Anaesthetics,9
30/09/2017,RR7,6,Core Training,Emergency Medicine,Emergency Medicine,3
30/09/2017,RR7,6,Core Training,General medicine group,Acute Internal Medicine,3
30/09/2017,RR7,6,Core Training,General medicine group,Cardiology,1
30/09/2017,RR7,6,Core Training,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RR7,6,Core Training,General medicine group,Gastroenterology,1
30/09/2017,RR7,6,Core Training,General medicine group,Geriatric medicine,3
30/09/2017,RR7,6,Core Training,General medicine group,Respiratory medicine,1
30/09/2017,RR7,6,Core Training,Psychiatry group,Old age psychiatry,0.8
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Gastroenterology,10.75
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Genito-urinary medicine,2
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,12.5229
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Infectious diseases,2
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Medical oncology,0.7
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Other,0.1
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Palliative medicine,1.875
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Rehabilitation medicine,3.4
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Respiratory medicine,24
30/09/2017,RM2,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,3.575
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Obstetrics and Gynaecology,14.55909
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,10
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Pathology group,Chemical pathology,2
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Pathology group,Haematology,3
30/09/2017,RR7,6,Core Training,Surgical group,General surgery,4
30/09/2017,RR7,6,Core Training,Surgical group,Trauma and orthopaedic surgery,1
30/09/2017,RR7,7,Foundation Doctor Year 2,Anaesthetics,Anaesthetics,4
30/09/2017,RR7,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,6
30/09/2017,RR7,7,Foundation Doctor Year 2,General medicine group,General (internal) medicine,1
30/09/2017,RR7,7,Foundation Doctor Year 2,General medicine group,General Practice (GP) 6 month Training,3
30/09/2017,RR7,7,Foundation Doctor Year 2,General medicine group,Geriatric medicine,3.8
30/09/2017,RR7,7,Foundation Doctor Year 2,General medicine group,Palliative medicine,1
30/09/2017,RR7,7,Foundation Doctor Year 2,General medicine group,Respiratory medicine,1
30/09/2017,RR7,7,Foundation Doctor Year 2,Obstetrics & gynaecology,Obstetrics and Gynaecology,1
30/09/2017,RR7,7,Foundation Doctor Year 2,Paediatric group,Paediatrics,2
30/09/2017,RR7,7,Foundation Doctor Year 2,Pathology group,Haematology,1
30/09/2017,RR7,7,Foundation Doctor Year 2,Psychiatry group,Old age psychiatry,1
30/09/2017,RR7,7,Foundation Doctor Year 2,Surgical group,General surgery,3
30/09/2017,RR7,7,Foundation Doctor Year 2,Surgical group,Trauma and orthopaedic surgery,4
30/09/2017,RR7,8,Foundation Doctor Year 1,Emergency Medicine,Emergency Medicine,6
30/09/2017,RR7,8,Foundation Doctor Year 1,General medicine group,Cardiology,2
30/09/2017,RPA,1,Consultant (including Directors of Public Health),Surgical group,Urology,5
30/09/2017,RPA,2,Associate Specialist,Emergency Medicine,Emergency Medicine,16.55
30/09/2017,RPA,2,Associate Specialist,General medicine group,Rheumatology,0.75
30/09/2017,RPA,2,Associate Specialist,Paediatric group,Paediatrics,7.7
30/09/2017,RPA,2,Associate Specialist,Surgical group,General surgery,1
30/09/2017,RPA,2,Associate Specialist,Surgical group,Trauma and orthopaedic surgery,1
30/09/2017,RPA,3,Specialty Doctor,Anaesthetics,Anaesthetics,7
30/09/2017,RPA,3,Specialty Doctor,Dental group,Orthodontics,1.3
30/09/2017,RPA,3,Specialty Doctor,Emergency Medicine,Emergency Medicine,0.25
30/09/2017,RPA,3,Specialty Doctor,General medicine group,Dermatology,2
30/09/2017,RPA,3,Specialty Doctor,General medicine group,Gastroenterology,1
30/09/2017,RPA,3,Specialty Doctor,General medicine group,General (internal) medicine,1
30/09/2017,RPA,3,Specialty Doctor,General medicine group,Geriatric medicine,2
30/09/2017,RPA,3,Specialty Doctor,Obstetrics & gynaecology,Obstetrics and Gynaecology,7
30/09/2017,RPA,3,Specialty Doctor,Paediatric group,Paediatrics,4
30/09/2017,RPA,3,Specialty Doctor,Pathology group,Haematology,1
30/09/2017,RPA,3,Specialty Doctor,Radiology group,Clinical radiology,3
30/09/2017,RR7,8,Foundation Doctor Year 1,General medicine group,Gastroenterology,1
30/09/2017,RR7,8,Foundation Doctor Year 1,General medicine group,Respiratory medicine,0.6
30/09/2017,RR7,8,Foundation Doctor Year 1,General medicine group,Rheumatology,1
30/09/2017,RR7,8,Foundation Doctor Year 1,Paediatric group,Paediatrics,1
30/09/2017,RR7,8,Foundation Doctor Year 1,Psychiatry group,Old age psychiatry,9
30/09/2017,RR7,8,Foundation Doctor Year 1,Surgical group,General surgery,8
30/09/2017,RR7,8,Foundation Doctor Year 1,Surgical group,Trauma and orthopaedic surgery,4
30/09/2017,RR7,10,Other and Local HCHS Doctor Grades,General medicine group,Rheumatology,0.1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,124.7
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Anaesthetics,Intensive care medicine,1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Clinical oncology,Clinical oncology,21.05
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Dental group,Dental and Maxillofacial Radiology,1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Dental group,Oral and Maxillofacial Pathology,1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Dental group,Oral and maxillo-facial surgery,5
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Dental group,Oral Surgery,1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,3.8
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Pathology group,Histopathology,14.476
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Pathology group,Medical microbiology,4.6
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,27.5
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Surgical group,Cardio-thoracic surgery,30.1
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Surgical group,General surgery,22.65909
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,5
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Surgical group,Plastic surgery,19
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,12.81818
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Surgical group,Urology,8
30/09/2017,RM2,1,Consultant (including Directors of Public Health),Surgical group,Vascular Surgery,1
30/09/2017,RM2,2,Associate Specialist,Dental group,Oral and maxillo-facial surgery,1
30/09/2017,RM2,2,Associate Specialist,General medicine group,Cardiology,1
30/09/2017,RM2,2,Associate Specialist,General medicine group,Genito-urinary medicine,1
30/09/2017,RM2,2,Associate Specialist,General medicine group,Rehabilitation medicine,1
30/09/2017,RM2,2,Associate Specialist,Surgical group,Cardio-thoracic surgery,3
30/09/2017,RPA,3,Specialty Doctor,Surgical group,General surgery,1.75
30/09/2017,RPA,3,Specialty Doctor,Surgical group,Otolaryngology,4
30/09/2017,RPA,3,Specialty Doctor,Surgical group,Trauma and orthopaedic surgery,5
30/09/2017,RPA,3,Specialty Doctor,Surgical group,Urology,4
30/09/2017,RPA,5,Specialty Registrar,Anaesthetics,Anaesthetics,21
30/09/2017,RPA,5,Specialty Registrar,Anaesthetics,Intensive care medicine,1
30/09/2017,RPA,5,Specialty Registrar,Dental group,Orthodontics,1
30/09/2017,RPA,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,10.4
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Acute Internal Medicine,2
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Cardiology,1
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Dermatology,1.8
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Gastroenterology,1
30/09/2017,RPA,5,Specialty Registrar,General medicine group,General (internal) medicine,26.3
30/09/2017,RPA,5,Specialty Registrar,General medicine group,General Practice (GP) 6 month Training,19.9
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Genito-urinary medicine,2
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Geriatric medicine,3
30/09/2017,RM2,2,Associate Specialist,Surgical group,Otolaryngology,1
30/09/2017,RM2,2,Associate Specialist,Surgical group,Plastic surgery,1
30/09/2017,RM2,2,Associate Specialist,Surgical group,Trauma and orthopaedic surgery,0.75
30/09/2017,RM2,3,Specialty Doctor,Anaesthetics,Anaesthetics,5
30/09/2017,RM2,3,Specialty Doctor,Dental group,Oral and maxillo-facial surgery,0.8
30/09/2017,RM2,3,Specialty Doctor,General medicine group,Genito-urinary medicine,0.2
30/09/2017,RM2,3,Specialty Doctor,General medicine group,Palliative medicine,1
30/09/2017,RM2,3,Specialty Doctor,General medicine group,Rehabilitation medicine,1
30/09/2017,RM2,3,Specialty Doctor,General medicine group,Rheumatology,2
30/09/2017,RM2,3,Specialty Doctor,Paediatric group,Paediatrics,1
30/09/2017,RM2,3,Specialty Doctor,Surgical group,Cardio-thoracic surgery,1
30/09/2017,RM2,3,Specialty Doctor,Surgical group,General surgery,1
30/09/2017,RM2,3,Specialty Doctor,Surgical group,Trauma and orthopaedic surgery,3
30/09/2017,RM2,5,Specialty Registrar,Anaesthetics,Anaesthetics,3
30/09/2017,RM2,5,Specialty Registrar,Anaesthetics,Intensive care medicine,2.7
30/09/2017,RM2,5,Specialty Registrar,Dental group,Oral and maxillo-facial surgery,2
30/09/2017,RM2,5,Specialty Registrar,Dental group,Orthodontics,2
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Neurology,1
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Palliative medicine,3
30/09/2017,RPA,5,Specialty Registrar,General medicine group,Respiratory medicine,2
30/09/2017,RPA,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,17
30/09/2017,RPA,5,Specialty Registrar,Paediatric group,Paediatrics,22.6
30/09/2017,RPA,5,Specialty Registrar,Pathology group,Haematology,1
30/09/2017,RPA,5,Specialty Registrar,Psychiatry group,General psychiatry,5
30/09/2017,RPA,5,Specialty Registrar,Radiology group,Clinical radiology,2
30/09/2017,RPA,5,Specialty Registrar,Surgical group,General surgery,18
30/09/2017,RPA,5,Specialty Registrar,Surgical group,Otolaryngology,2
30/09/2017,RPA,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,13
30/09/2017,RPA,5,Specialty Registrar,Surgical group,Urology,4
30/09/2017,RPA,6,Core Training,Anaesthetics,Anaesthetics,4
30/09/2017,RPA,6,Core Training,Surgical group,General surgery,1
30/09/2017,RPA,7,Foundation Doctor Year 2,Anaesthetics,Intensive care medicine,2
30/09/2017,RPA,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,6
30/09/2017,RPA,7,Foundation Doctor Year 2,General medicine group,General (internal) medicine,6
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Dental group,Paediatric dentistry,3.4
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Dental group,Prosthodontics,1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Dental group,Restorative dentistry,3.45
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,16.15
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,22
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Clinical genetics,7.85
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Clinical neurophysiology,3.6
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Clinical pharmacology and therapeutics,4
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,10.9
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Endocrinology and diabetes mellitus,6
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Gastroenterology,13.5
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,17.025
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Infectious diseases,5
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Medical oncology,9.35
30/09/2017,RPA,7,Foundation Doctor Year 2,General medicine group,General Practice (GP) 6 month Training,5
30/09/2017,RPA,7,Foundation Doctor Year 2,General medicine group,Geriatric medicine,2
30/09/2017,RPA,7,Foundation Doctor Year 2,Obstetrics & gynaecology,Obstetrics and Gynaecology,2
30/09/2017,RPA,7,Foundation Doctor Year 2,Paediatric group,Paediatrics,1
30/09/2017,RPA,7,Foundation Doctor Year 2,Psychiatry group,General psychiatry,2
30/09/2017,RPA,7,Foundation Doctor Year 2,Surgical group,General surgery,3
30/09/2017,RPA,7,Foundation Doctor Year 2,Surgical group,Otolaryngology,4
30/09/2017,RPA,7,Foundation Doctor Year 2,Surgical group,Urology,4
30/09/2017,RPA,8,Foundation Doctor Year 1,Anaesthetics,Anaesthetics,2
30/09/2017,RPA,8,Foundation Doctor Year 1,Emergency Medicine,Emergency Medicine,2.6
30/09/2017,RPA,8,Foundation Doctor Year 1,General medicine group,General (internal) medicine,10
30/09/2017,RPA,8,Foundation Doctor Year 1,General medicine group,Geriatric medicine,6
30/09/2017,RPA,8,Foundation Doctor Year 1,Obstetrics & gynaecology,Obstetrics and Gynaecology,2
30/09/2017,RPA,8,Foundation Doctor Year 1,Paediatric group,Paediatrics,3
30/09/2017,RPA,8,Foundation Doctor Year 1,Pathology group,Haematology,2
30/09/2017,RPA,8,Foundation Doctor Year 1,Psychiatry group,General psychiatry,2
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Medical ophthalmology,1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Neurology,11.5
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Occupational medicine,1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Other,0.36364
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Palliative medicine,5.85
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Renal medicine,8.9
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Respiratory medicine,12.1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,9.25
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Community Sexual and Reproductive Health,2.65
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Obstetrics and Gynaecology,20.05
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Paediatric group,Paediatric cardiology,6
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,60.425
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Pathology group,Chemical pathology,2
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Pathology group,Diagnostic Neuropathology,1
30/09/2017,RPA,8,Foundation Doctor Year 1,Surgical group,General surgery,10
30/09/2017,RPA,8,Foundation Doctor Year 1,Surgical group,Urology,1
30/09/2017,RPA,9,Hospital Practitioner / Clinical Assistant,General medicine group,Dermatology,0.45714
30/09/2017,RPA,9,Hospital Practitioner / Clinical Assistant,Surgical group,General surgery,0.18182
30/09/2017,RPA,10,Other and Local HCHS Doctor Grades,General medicine group,Neurology,0.75
30/09/2017,RPC,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,16.445
30/09/2017,RPC,1,Consultant (including Directors of Public Health),Dental group,Dental and Maxillofacial Radiology,1
30/09/2017,RPC,1,Consultant (including Directors of Public Health),Dental group,Oral and maxillo-facial surgery,9.675
30/09/2017,RPC,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,4.025
30/09/2017,RPC,1,Consultant (including Directors of Public Health),Dental group,Restorative dentistry,0.225
30/09/2017,RPC,1,Consultant (including Directors of Public Health),General medicine group,Other,2.175
30/09/2017,RPC,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,0.25
30/09/2017,RPC,1,Consultant (including Directors of Public Health),Pathology group,Histopathology,3
30/09/2017,RPC,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,2
30/09/2017,RM2,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,20.8
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Allergy,1
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Cardiology,6
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,3
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Gastroenterology,7
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Geriatric medicine,6
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Medical oncology,0.5625
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Rehabilitation medicine,2
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Renal medicine,1
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Respiratory medicine,15
30/09/2017,RM2,5,Specialty Registrar,General medicine group,Rheumatology,2
30/09/2017,RM2,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,15
30/09/2017,RM2,5,Specialty Registrar,Paediatric group,Paediatrics,15.90875
30/09/2017,RM2,5,Specialty Registrar,Pathology group,Haematology,0.7
30/09/2017,RM2,5,Specialty Registrar,Radiology group,Clinical radiology,13.8
30/09/2017,RM2,5,Specialty Registrar,Surgical group,Cardio-thoracic surgery,16
30/09/2017,RPC,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,4.7
30/09/2017,RPC,1,Consultant (including Directors of Public Health),Surgical group,Plastic surgery,19.275
30/09/2017,RPC,2,Associate Specialist,Anaesthetics,Anaesthetics,1.72727
30/09/2017,RPC,2,Associate Specialist,Dental group,Oral and maxillo-facial surgery,2.04936
30/09/2017,RPC,2,Associate Specialist,Dental group,Orthodontics,0.54546
30/09/2017,RPC,3,Specialty Doctor,Anaesthetics,Anaesthetics,3
30/09/2017,RPC,3,Specialty Doctor,Dental group,Oral and maxillo-facial surgery,3.8
30/09/2017,RPC,3,Specialty Doctor,Dental group,Orthodontics,1
30/09/2017,RPC,3,Specialty Doctor,Emergency Medicine,Emergency Medicine,0.1
30/09/2017,RPC,3,Specialty Doctor,Surgical group,Ophthalmology,7
30/09/2017,RPC,3,Specialty Doctor,Surgical group,Plastic surgery,4
30/09/2017,RPC,5,Specialty Registrar,Anaesthetics,Anaesthetics,8.3
30/09/2017,RPC,5,Specialty Registrar,Dental group,Oral and maxillo-facial surgery,9
30/09/2017,RPC,5,Specialty Registrar,Dental group,Orthodontics,3
30/09/2017,RPC,5,Specialty Registrar,Radiology group,Clinical radiology,1
30/09/2017,RPC,5,Specialty Registrar,Surgical group,Plastic surgery,21.6
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Pathology group,Haematology,11.05
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Pathology group,Histopathology,26.35
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Pathology group,Immunology,3.35
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Pathology group,Medical microbiology,8.85
30/09/2017,RTD,1,Consultant (including Directors of Public Health),PHM & CHS group,Community Health Service Dental,1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,44.525
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Surgical group,Cardio-thoracic surgery,15.3
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Surgical group,General surgery,32.65
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Surgical group,Neurosurgery,12
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,25.1
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,15
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Surgical group,Paediatric surgery,7
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Surgical group,Plastic surgery,17.3
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,26.2
30/09/2017,RTD,1,Consultant (including Directors of Public Health),Surgical group,Urology,18
30/09/2017,RPC,6,Core Training,Dental group,Oral and maxillo-facial surgery,3
30/09/2017,RPC,6,Core Training,Surgical group,Plastic surgery,5
30/09/2017,RTK,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,32.18818
30/09/2017,RTK,1,Consultant (including Directors of Public Health),Anaesthetics,Intensive care medicine,3
30/09/2017,RTK,1,Consultant (including Directors of Public Health),Dental group,Oral and maxillo-facial surgery,1.6
30/09/2017,RTK,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,1.5
30/09/2017,RTK,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,5.5
30/09/2017,RTK,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,7.8
30/09/2017,RTK,1,Consultant (including Directors of Public Health),General medicine group,Clinical neurophysiology,1
30/09/2017,RTK,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,3.9
30/09/2017,RTK,1,Consultant (including Directors of Public Health),General medicine group,Endocrinology and diabetes mellitus,1.91
30/09/2017,RTK,1,Consultant (including Directors of Public Health),General medicine group,Gastroenterology,7.4
30/09/2017,RTK,1,Consultant (including Directors of Public Health),General medicine group,General (internal) medicine,5.2
30/09/2017,RTD,2,Associate Specialist,Anaesthetics,Anaesthetics,0.75
30/09/2017,RTD,2,Associate Specialist,Dental group,Oral and maxillo-facial surgery,0.8
30/09/2017,RTD,2,Associate Specialist,Dental group,Orthodontics,1
30/09/2017,RTD,2,Associate Specialist,Dental group,Restorative dentistry,1
30/09/2017,RTD,2,Associate Specialist,Emergency Medicine,Emergency Medicine,1
30/09/2017,RTD,2,Associate Specialist,General medicine group,Dermatology,0.4
30/09/2017,RTD,2,Associate Specialist,General medicine group,Geriatric medicine,1.45
30/09/2017,RTD,2,Associate Specialist,Obstetrics & gynaecology,Community Sexual and Reproductive Health,1
30/09/2017,RTD,2,Associate Specialist,Surgical group,General surgery,1
30/09/2017,RTD,2,Associate Specialist,Surgical group,Ophthalmology,1
