ORG_CODE,DATE,POPULATION,QUESTION,RATING_SCORE
RV3,19/06/2015,"Community health services for children, young people and families",Safe,2
RV3,19/06/2015,"Community health services for children, young people and families",Effective,2
RV3,19/06/2015,"Community health services for children, young people and families",Caring,2
RV3,19/06/2015,"Community health services for children, young people and families",Responsive,2
RV3,19/06/2015,"Community health services for children, young people and families",Well-led,2
RV3,19/06/2015,"Community health services for children, young people and families",Overall,2
RV3,18/08/2017,Community-based mental health services for adults of working age,Safe,1
RV3,18/08/2017,Community-based mental health services for adults of working age,Effective,1
RV3,18/08/2017,Community-based mental health services for adults of working age,Caring,2
RV3,18/08/2017,Community-based mental health services for adults of working age,Responsive,2
RV3,18/08/2017,Community-based mental health services for adults of working age,Well-led,2
RV3,18/08/2017,Community-based mental health services for adults of working age,Overall,1
RV3,19/06/2015,Community-based mental health services for older people,Safe,2
RV3,19/06/2015,Community-based mental health services for older people,Effective,2
RV3,19/06/2015,Community-based mental health services for older people,Caring,2
RV3,19/06/2015,Community-based mental health services for older people,Responsive,2
RV3,19/06/2015,Community-based mental health services for older people,Well-led,2
RV3,19/06/2015,Community-based mental health services for older people,Overall,2
RV3,19/06/2015,End of life care,Safe,2
RV3,19/06/2015,End of life care,Effective,2
RV3,19/06/2015,End of life care,Caring,2
RV3,19/06/2015,End of life care,Responsive,2
RV3,19/06/2015,End of life care,Well-led,2
RV3,19/06/2015,End of life care,Overall,2
RV3,19/06/2015,Forensic inpatient/secure wards,Safe,2
RV3,19/06/2015,Forensic inpatient/secure wards,Effective,2
RV3,19/06/2015,Forensic inpatient/secure wards,Caring,2
RV3,19/06/2015,Forensic inpatient/secure wards,Responsive,2
RV3,19/06/2015,Forensic inpatient/secure wards,Well-led,2
RV3,19/06/2015,Forensic inpatient/secure wards,Overall,2
RV3,19/06/2015,Long stay/rehabilitation mental health wards for working age adults,Safe,2
RV3,19/06/2015,Long stay/rehabilitation mental health wards for working age adults,Effective,2
RV3,19/06/2015,Long stay/rehabilitation mental health wards for working age adults,Caring,2
RV3,19/06/2015,Long stay/rehabilitation mental health wards for working age adults,Responsive,1
RV3,19/06/2015,Long stay/rehabilitation mental health wards for working age adults,Well-led,2
RV3,19/06/2015,Long stay/rehabilitation mental health wards for working age adults,Overall,2
RV3,19/06/2015,Mental health crisis services and health-based places of safety,Safe,2
RV3,19/06/2015,Mental health crisis services and health-based places of safety,Effective,2
RV3,19/06/2015,Mental health crisis services and health-based places of safety,Caring,2
RV3,19/06/2015,Mental health crisis services and health-based places of safety,Responsive,1
RV3,19/06/2015,Mental health crisis services and health-based places of safety,Well-led,2
RV3,19/06/2015,Mental health crisis services and health-based places of safety,Overall,2
RV3,18/08/2017,Overall,Safe,1
RV3,18/08/2017,Overall,Effective,2
RV3,18/08/2017,Overall,Caring,3
RV3,18/08/2017,Overall,Responsive,2
RV3,18/08/2017,Overall,Well-led,2
RV3,18/08/2017,Overall,Overall,2
RV3,19/06/2015,Specialist community mental health services for children and young people,Safe,2
RV3,19/06/2015,Specialist community mental health services for children and young people,Effective,2
RV3,19/06/2015,Specialist community mental health services for children and young people,Caring,2
RV3,19/06/2015,Specialist community mental health services for children and young people,Responsive,2
RV3,19/06/2015,Specialist community mental health services for children and young people,Well-led,2
RV3,19/06/2015,Specialist community mental health services for children and young people,Overall,2
RV3,25/04/2017,Wards for older people with mental health problems,Safe,1
RV3,25/04/2017,Wards for older people with mental health problems,Effective,2
RV3,25/04/2017,Wards for older people with mental health problems,Caring,2
RV3,25/04/2017,Wards for older people with mental health problems,Responsive,2
RV3,25/04/2017,Wards for older people with mental health problems,Well-led,2
RV3,25/04/2017,Wards for older people with mental health problems,Overall,2
RV3,14/06/2017,Wards for people with learning disabilities or autism,Safe,2
RV3,14/06/2017,Wards for people with learning disabilities or autism,Effective,3
RV3,14/06/2017,Wards for people with learning disabilities or autism,Caring,3
RV3,14/06/2017,Wards for people with learning disabilities or autism,Responsive,3
RV3,14/06/2017,Wards for people with learning disabilities or autism,Well-led,3
RV3,14/06/2017,Wards for people with learning disabilities or autism,Overall,3
RV5,05/05/2017,Acute wards for adults of working age and psychiatric intensive care units,Safe,1
RV5,05/05/2017,Acute wards for adults of working age and psychiatric intensive care units,Effective,1
RV5,05/05/2017,Acute wards for adults of working age and psychiatric intensive care units,Caring,2
RV5,05/05/2017,Acute wards for adults of working age and psychiatric intensive care units,Responsive,2
RV5,05/05/2017,Acute wards for adults of working age and psychiatric intensive care units,Well-led,1
RV5,05/05/2017,Acute wards for adults of working age and psychiatric intensive care units,Overall,1
RV5,08/01/2016,Child and adolescent mental health wards,Safe,2
RV5,08/01/2016,Child and adolescent mental health wards,Effective,2
RV5,08/01/2016,Child and adolescent mental health wards,Caring,2
RV5,08/01/2016,Child and adolescent mental health wards,Responsive,2
RV5,08/01/2016,Child and adolescent mental health wards,Well-led,2
RV5,08/01/2016,Child and adolescent mental health wards,Overall,2
RV5,08/01/2016,Community mental health services for people with learning disabilities or autism,Safe,2
RV5,08/01/2016,Community mental health services for people with learning disabilities or autism,Effective,3
RV5,08/01/2016,Community mental health services for people with learning disabilities or autism,Caring,3
RV5,08/01/2016,Community mental health services for people with learning disabilities or autism,Responsive,2
RV5,08/01/2016,Community mental health services for people with learning disabilities or autism,Well-led,3
RV5,08/01/2016,Community mental health services for people with learning disabilities or autism,Overall,3
RV5,31/10/2017,Community-based mental health services for adults of working age,Safe,1
RV5,31/10/2017,Community-based mental health services for adults of working age,Effective,1
RV5,31/10/2017,Community-based mental health services for adults of working age,Caring,2
RV5,31/10/2017,Community-based mental health services for adults of working age,Responsive,1
RV5,31/10/2017,Community-based mental health services for adults of working age,Well-led,2
RV5,31/10/2017,Community-based mental health services for adults of working age,Overall,1
RV5,08/01/2016,Community-based mental health services for older people,Safe,1
RV5,08/01/2016,Community-based mental health services for older people,Effective,2
RV5,08/01/2016,Community-based mental health services for older people,Caring,2
RV5,08/01/2016,Community-based mental health services for older people,Responsive,2
RV5,08/01/2016,Community-based mental health services for older people,Well-led,2
RV5,08/01/2016,Community-based mental health services for older people,Overall,2
RV5,08/01/2016,Forensic inpatient/secure wards,Safe,1
RV5,08/01/2016,Forensic inpatient/secure wards,Effective,2
RV5,08/01/2016,Forensic inpatient/secure wards,Caring,2
RV5,08/01/2016,Forensic inpatient/secure wards,Responsive,1
RV5,08/01/2016,Forensic inpatient/secure wards,Well-led,2
RV5,08/01/2016,Forensic inpatient/secure wards,Overall,1
RV5,08/01/2016,Long stay/rehabilitation mental health wards for working age adults,Safe,1
RV5,08/01/2016,Long stay/rehabilitation mental health wards for working age adults,Effective,2
RV5,08/01/2016,Long stay/rehabilitation mental health wards for working age adults,Caring,2
RV5,08/01/2016,Long stay/rehabilitation mental health wards for working age adults,Responsive,2
RV5,08/01/2016,Long stay/rehabilitation mental health wards for working age adults,Well-led,2
RV5,08/01/2016,Long stay/rehabilitation mental health wards for working age adults,Overall,2
RV5,08/01/2016,Mental health crisis services and health-based places of safety,Safe,1
RV5,08/01/2016,Mental health crisis services and health-based places of safety,Effective,2
RV5,08/01/2016,Mental health crisis services and health-based places of safety,Caring,2
RV5,08/01/2016,Mental health crisis services and health-based places of safety,Responsive,2
RV5,08/01/2016,Mental health crisis services and health-based places of safety,Well-led,2
RV5,08/01/2016,Mental health crisis services and health-based places of safety,Overall,2
RV5,22/01/2016,Overall,Safe,1
RV5,22/01/2016,Overall,Effective,2
RV5,22/01/2016,Overall,Caring,2
RV5,22/01/2016,Overall,Responsive,2
RV5,22/01/2016,Overall,Well-led,2
RV5,22/01/2016,Overall,Overall,2
RV5,08/01/2016,Specialist community mental health services for children and young people,Safe,2
RV5,08/01/2016,Specialist community mental health services for children and young people,Effective,2
RV5,08/01/2016,Specialist community mental health services for children and young people,Caring,2
RV5,08/01/2016,Specialist community mental health services for children and young people,Responsive,2
RV5,08/01/2016,Specialist community mental health services for children and young people,Well-led,2
RV5,08/01/2016,Specialist community mental health services for children and young people,Overall,2
RV5,07/06/2017,Wards for older people with mental health problems,Safe,1
RV5,07/06/2017,Wards for older people with mental health problems,Effective,2
RV5,07/06/2017,Wards for older people with mental health problems,Caring,2
RV5,07/06/2017,Wards for older people with mental health problems,Responsive,2
RV5,07/06/2017,Wards for older people with mental health problems,Well-led,2
RV5,07/06/2017,Wards for older people with mental health problems,Overall,2
RV5,08/01/2016,Wards for people with learning disabilities or autism,Safe,2
RV5,08/01/2016,Wards for people with learning disabilities or autism,Effective,3
RV5,08/01/2016,Wards for people with learning disabilities or autism,Caring,3
RV5,08/01/2016,Wards for people with learning disabilities or autism,Responsive,2
RV5,08/01/2016,Wards for people with learning disabilities or autism,Well-led,3
RV5,08/01/2016,Wards for people with learning disabilities or autism,Overall,3
RV9,01/02/2018,Acute wards for adults of working age and psychiatric intensive care units,Safe,1
RV9,01/02/2018,Acute wards for adults of working age and psychiatric intensive care units,Effective,1
RV9,01/02/2018,Acute wards for adults of working age and psychiatric intensive care units,Caring,2
RV9,01/02/2018,Acute wards for adults of working age and psychiatric intensive care units,Responsive,2
RV9,01/02/2018,Acute wards for adults of working age and psychiatric intensive care units,Well-led,1
RV9,01/02/2018,Acute wards for adults of working age and psychiatric intensive care units,Overall,1
RV9,10/08/2016,Community health inpatient services,Safe,2
RV9,10/08/2016,Community health inpatient services,Effective,2
RV9,10/08/2016,Community health inpatient services,Caring,2
RV9,10/08/2016,Community health inpatient services,Responsive,2
RV9,10/08/2016,Community health inpatient services,Well-led,2
RV9,10/08/2016,Community health inpatient services,Overall,2
RV9,01/02/2018,Community health services for adults,Safe,1
RV9,01/02/2018,Community health services for adults,Effective,2
RV9,01/02/2018,Community health services for adults,Caring,2
RV9,01/02/2018,Community health services for adults,Responsive,2
RV9,01/02/2018,Community health services for adults,Well-led,1
RV9,01/02/2018,Community health services for adults,Overall,1
RV9,10/08/2016,"Community health services for children, young people and families",Safe,2
RV9,10/08/2016,"Community health services for children, young people and families",Effective,2
RV9,10/08/2016,"Community health services for children, young people and families",Caring,2
RV9,10/08/2016,"Community health services for children, young people and families",Responsive,2
RV9,10/08/2016,"Community health services for children, young people and families",Well-led,2
RV9,10/08/2016,"Community health services for children, young people and families",Overall,2
RV9,10/08/2016,Community mental health services for people with learning disabilities or autism,Safe,2
RV9,10/08/2016,Community mental health services for people with learning disabilities or autism,Effective,2
RV9,10/08/2016,Community mental health services for people with learning disabilities or autism,Caring,2
RV9,10/08/2016,Community mental health services for people with learning disabilities or autism,Responsive,1
RV9,10/08/2016,Community mental health services for people with learning disabilities or autism,Well-led,2
RV9,10/08/2016,Community mental health services for people with learning disabilities or autism,Overall,2
RV9,01/02/2018,Community-based mental health services for adults of working age,Safe,1
RV9,01/02/2018,Community-based mental health services for adults of working age,Effective,2
RV9,01/02/2018,Community-based mental health services for adults of working age,Caring,2
RV9,01/02/2018,Community-based mental health services for adults of working age,Responsive,2
RV9,01/02/2018,Community-based mental health services for adults of working age,Well-led,2
RV9,01/02/2018,Community-based mental health services for adults of working age,Overall,2
RV9,10/08/2016,Community-based mental health services for older people,Safe,2
RV9,10/08/2016,Community-based mental health services for older people,Effective,2
RV9,10/08/2016,Community-based mental health services for older people,Caring,2
RV9,10/08/2016,Community-based mental health services for older people,Responsive,1
RV9,10/08/2016,Community-based mental health services for older people,Well-led,2
RV9,10/08/2016,Community-based mental health services for older people,Overall,2
RV9,10/08/2016,End of life care,Safe,2
RV9,10/08/2016,End of life care,Effective,2
RV9,10/08/2016,End of life care,Caring,2
RV9,10/08/2016,End of life care,Responsive,2
RV9,10/08/2016,End of life care,Well-led,2
RV9,10/08/2016,End of life care,Overall,2
RV9,01/02/2018,Forensic inpatient/secure wards,Safe,1
RV9,01/02/2018,Forensic inpatient/secure wards,Effective,2
RV9,01/02/2018,Forensic inpatient/secure wards,Caring,2
RV9,01/02/2018,Forensic inpatient/secure wards,Responsive,2
RV9,01/02/2018,Forensic inpatient/secure wards,Well-led,2
RV9,01/02/2018,Forensic inpatient/secure wards,Overall,2
RV9,01/02/2018,Long stay/rehabilitation mental health wards for working age adults,Safe,1
RV9,01/02/2018,Long stay/rehabilitation mental health wards for working age adults,Effective,2
RV9,01/02/2018,Long stay/rehabilitation mental health wards for working age adults,Caring,2
RV9,01/02/2018,Long stay/rehabilitation mental health wards for working age adults,Responsive,2
RV9,01/02/2018,Long stay/rehabilitation mental health wards for working age adults,Well-led,2
RV9,01/02/2018,Long stay/rehabilitation mental health wards for working age adults,Overall,2
RV9,01/02/2018,Mental health crisis services and health-based places of safety,Safe,1
RV9,01/02/2018,Mental health crisis services and health-based places of safety,Effective,2
RV9,01/02/2018,Mental health crisis services and health-based places of safety,Caring,2
RV9,01/02/2018,Mental health crisis services and health-based places of safety,Responsive,2
RV9,01/02/2018,Mental health crisis services and health-based places of safety,Well-led,1
RV9,01/02/2018,Mental health crisis services and health-based places of safety,Overall,1
RV9,01/02/2018,Overall,Safe,1
RV9,01/02/2018,Overall,Effective,2
RV9,01/02/2018,Overall,Caring,2
RV9,01/02/2018,Overall,Responsive,2
RV9,01/02/2018,Overall,Well-led,2
RV9,01/02/2018,Overall,Overall,2
RV9,10/08/2016,Specialist community mental health services for children and young people,Safe,2
RV9,10/08/2016,Specialist community mental health services for children and young people,Effective,2
RV9,10/08/2016,Specialist community mental health services for children and young people,Caring,2
RV9,10/08/2016,Specialist community mental health services for children and young people,Responsive,1
RV9,10/08/2016,Specialist community mental health services for children and young people,Well-led,2
RV9,10/08/2016,Specialist community mental health services for children and young people,Overall,2
RV9,01/02/2018,Substance Misuse,Safe,2
RV9,01/02/2018,Substance Misuse,Effective,1
RV9,01/02/2018,Substance Misuse,Caring,2
RV9,01/02/2018,Substance Misuse,Responsive,2
RV9,01/02/2018,Substance Misuse,Well-led,2
RV9,01/02/2018,Substance Misuse,Overall,2
RV9,10/08/2016,Urgent care services,Safe,2
RV9,10/08/2016,Urgent care services,Effective,2
RV9,10/08/2016,Urgent care services,Caring,2
RV9,10/08/2016,Urgent care services,Responsive,2
RV9,10/08/2016,Urgent care services,Well-led,2
RV9,10/08/2016,Urgent care services,Overall,2
RV9,01/02/2018,Wards for older people with mental health problems,Safe,1
RV9,01/02/2018,Wards for older people with mental health problems,Effective,2
RV9,01/02/2018,Wards for older people with mental health problems,Caring,2
RV9,01/02/2018,Wards for older people with mental health problems,Responsive,2
RV9,01/02/2018,Wards for older people with mental health problems,Well-led,2
RV9,01/02/2018,Wards for older people with mental health problems,Overall,2
RV9,01/02/2018,Wards for people with learning disabilities or autism,Safe,1
RV9,01/02/2018,Wards for people with learning disabilities or autism,Effective,2
RV9,01/02/2018,Wards for people with learning disabilities or autism,Caring,3
RV9,01/02/2018,Wards for people with learning disabilities or autism,Responsive,3
RV9,01/02/2018,Wards for people with learning disabilities or autism,Well-led,2
RV9,01/02/2018,Wards for people with learning disabilities or autism,Overall,2
RVJ,08/03/2018,Overall,Safe,1
RVJ,08/03/2018,Overall,Effective,1
RVJ,08/03/2018,Overall,Caring,2
RVJ,08/03/2018,Overall,Responsive,1
RVJ,08/03/2018,Overall,Well-led,1
RVJ,08/03/2018,Overall,Overall,1
RVJ,06/04/2016,Specialist community mental health services for children and young people,Safe,1
RVJ,06/04/2016,Specialist community mental health services for children and young people,Well-led,1
RVJ,06/04/2016,Specialist community mental health services for children and young people,Overall,1
RVN,03/10/2017,Acute wards for adults of working age and psychiatric intensive care units,Safe,1
RVN,03/10/2017,Acute wards for adults of working age and psychiatric intensive care units,Effective,2
RVN,03/10/2017,Acute wards for adults of working age and psychiatric intensive care units,Caring,2
RVN,03/10/2017,Acute wards for adults of working age and psychiatric intensive care units,Responsive,2
RVN,03/10/2017,Acute wards for adults of working age and psychiatric intensive care units,Well-led,2
RVN,03/10/2017,Acute wards for adults of working age and psychiatric intensive care units,Overall,2
RVN,03/10/2017,Child and adolescent mental health wards,Safe,1
RVN,03/10/2017,Child and adolescent mental health wards,Effective,2
RVN,03/10/2017,Child and adolescent mental health wards,Caring,2
RVN,03/10/2017,Child and adolescent mental health wards,Responsive,2
RVN,03/10/2017,Child and adolescent mental health wards,Well-led,1
RVN,03/10/2017,Child and adolescent mental health wards,Overall,1
RVN,08/09/2016,Community mental health services for people with learning disabilities or autism,Safe,1
RVN,08/09/2016,Community mental health services for people with learning disabilities or autism,Effective,2
RVN,08/09/2016,Community mental health services for people with learning disabilities or autism,Caring,2
RVN,08/09/2016,Community mental health services for people with learning disabilities or autism,Responsive,2
RVN,08/09/2016,Community mental health services for people with learning disabilities or autism,Well-led,2
RVN,08/09/2016,Community mental health services for people with learning disabilities or autism,Overall,2
RVN,08/09/2016,Community-based mental health services for adults of working age,Safe,1
RVN,08/09/2016,Community-based mental health services for adults of working age,Effective,2
RVN,08/09/2016,Community-based mental health services for adults of working age,Caring,2
RVN,08/09/2016,Community-based mental health services for adults of working age,Responsive,2
RVN,08/09/2016,Community-based mental health services for adults of working age,Well-led,2
RVN,08/09/2016,Community-based mental health services for adults of working age,Overall,2
RVN,08/09/2016,Community-based mental health services for older people,Safe,2
RVN,08/09/2016,Community-based mental health services for older people,Effective,2
RVN,08/09/2016,Community-based mental health services for older people,Caring,2
RVN,08/09/2016,Community-based mental health services for older people,Responsive,2
RVN,08/09/2016,Community-based mental health services for older people,Well-led,2
RVN,08/09/2016,Community-based mental health services for older people,Overall,2
RVN,08/09/2016,Forensic inpatient/secure wards,Safe,2
RVN,08/09/2016,Forensic inpatient/secure wards,Effective,2
RVN,08/09/2016,Forensic inpatient/secure wards,Caring,2
RVN,08/09/2016,Forensic inpatient/secure wards,Responsive,2
RVN,08/09/2016,Forensic inpatient/secure wards,Well-led,2
RVN,08/09/2016,Forensic inpatient/secure wards,Overall,2
RVN,03/10/2017,Long stay/rehabilitation mental health wards for working age adults,Safe,1
RVN,03/10/2017,Long stay/rehabilitation mental health wards for working age adults,Effective,2
RVN,03/10/2017,Long stay/rehabilitation mental health wards for working age adults,Caring,2
RVN,03/10/2017,Long stay/rehabilitation mental health wards for working age adults,Responsive,2
RVN,03/10/2017,Long stay/rehabilitation mental health wards for working age adults,Well-led,2
RVN,03/10/2017,Long stay/rehabilitation mental health wards for working age adults,Overall,2
RVN,03/10/2017,Mental health crisis services and health-based places of safety,Safe,0
RVN,03/10/2017,Mental health crisis services and health-based places of safety,Effective,1
RVN,03/10/2017,Mental health crisis services and health-based places of safety,Caring,2
RVN,03/10/2017,Mental health crisis services and health-based places of safety,Responsive,0
RVN,03/10/2017,Mental health crisis services and health-based places of safety,Well-led,1
RVN,03/10/2017,Mental health crisis services and health-based places of safety,Overall,0
RVN,03/10/2017,Overall,Safe,1
RVN,03/10/2017,Overall,Effective,1
RVN,03/10/2017,Overall,Caring,2
RVN,03/10/2017,Overall,Responsive,2
RVN,03/10/2017,Overall,Well-led,2
RVN,03/10/2017,Overall,Overall,1
RVN,03/10/2017,Specialist community mental health services for children and young people,Safe,1
RVN,03/10/2017,Specialist community mental health services for children and young people,Effective,1
RVN,03/10/2017,Specialist community mental health services for children and young people,Caring,2
RVN,03/10/2017,Specialist community mental health services for children and young people,Responsive,1
RVN,03/10/2017,Specialist community mental health services for children and young people,Well-led,1
RVN,03/10/2017,Specialist community mental health services for children and young people,Overall,1
RVN,08/09/2016,Specialist psychological therapy services,Safe,2
RVN,08/09/2016,Specialist psychological therapy services,Effective,2
RVN,08/09/2016,Specialist psychological therapy services,Caring,2
RVN,08/09/2016,Specialist psychological therapy services,Responsive,2
RVN,08/09/2016,Specialist psychological therapy services,Well-led,2
RVN,08/09/2016,Specialist psychological therapy services,Overall,2
RVN,03/10/2017,Wards for older people with mental health problems,Safe,1
RVN,03/10/2017,Wards for older people with mental health problems,Effective,2
RVN,03/10/2017,Wards for older people with mental health problems,Caring,2
RVN,03/10/2017,Wards for older people with mental health problems,Responsive,2
RVN,03/10/2017,Wards for older people with mental health problems,Well-led,2
RVN,03/10/2017,Wards for older people with mental health problems,Overall,2
RVN,03/10/2017,Wards for people with learning disabilities or autism,Safe,2
RVN,03/10/2017,Wards for people with learning disabilities or autism,Effective,1
RVN,03/10/2017,Wards for people with learning disabilities or autism,Caring,2
RVN,03/10/2017,Wards for people with learning disabilities or autism,Responsive,2
RVN,03/10/2017,Wards for people with learning disabilities or autism,Well-led,2
RVN,03/10/2017,Wards for people with learning disabilities or autism,Overall,2
RVR,14/05/2018,Overall,Safe,1
RVR,14/05/2018,Overall,Effective,1
RVR,14/05/2018,Overall,Caring,2
RVR,14/05/2018,Overall,Responsive,2
RVR,14/05/2018,Overall,Well-led,1
RVR,14/05/2018,Overall,Overall,1
RVV,21/12/2016,Overall,Safe,1
RVV,21/12/2016,Overall,Effective,1
RVV,21/12/2016,Overall,Caring,2
RVV,21/12/2016,Overall,Responsive,1
RVV,21/12/2016,Overall,Well-led,1
RVV,21/12/2016,Overall,Overall,1
RVW,03/02/2016,Community dental services,Safe,2
RVW,03/02/2016,Community dental services,Effective,2
RVW,03/02/2016,Community dental services,Caring,2
RVW,03/02/2016,Community dental services,Responsive,2
RVW,03/02/2016,Community dental services,Well-led,2
RVW,03/02/2016,Community dental services,Overall,2
RVW,03/02/2016,Community health services for adults,Safe,2
RVW,03/02/2016,Community health services for adults,Effective,2
RVW,03/02/2016,Community health services for adults,Caring,2
RVW,03/02/2016,Community health services for adults,Responsive,2
RVW,03/02/2016,Community health services for adults,Well-led,1
RVW,03/02/2016,Community health services for adults,Overall,2
RVW,03/02/2016,"Community health services for children, young people and families",Safe,2
RVW,03/02/2016,"Community health services for children, young people and families",Effective,1
RVW,03/02/2016,"Community health services for children, young people and families",Caring,2
RVW,03/02/2016,"Community health services for children, young people and families",Responsive,2
RVW,03/02/2016,"Community health services for children, young people and families",Well-led,2
RVW,03/02/2016,"Community health services for children, young people and families",Overall,2
RVW,03/02/2016,End of life care,Safe,2
RVW,03/02/2016,End of life care,Effective,2
RVW,03/02/2016,End of life care,Caring,2
RVW,03/02/2016,End of life care,Responsive,2
RVW,03/02/2016,End of life care,Well-led,2
RVW,03/02/2016,End of life care,Overall,2
RVW,14/03/2018,Overall,Safe,2
RVW,14/03/2018,Overall,Effective,2
RVW,14/03/2018,Overall,Caring,2
RVW,14/03/2018,Overall,Responsive,2
RVW,14/03/2018,Overall,Well-led,2
RVW,14/03/2018,Overall,Overall,2
RVY,15/11/2016,Community health services for adults,Safe,1
RVY,15/11/2016,Community health services for adults,Effective,1
RVY,15/11/2016,Community health services for adults,Caring,2
RVY,15/11/2016,Community health services for adults,Responsive,2
RVY,15/11/2016,Community health services for adults,Well-led,2
RVY,15/11/2016,Community health services for adults,Overall,1
RVY,15/11/2016,"Community health services for children, young people and families",Safe,1
RVY,15/11/2016,"Community health services for children, young people and families",Effective,2
RVY,15/11/2016,"Community health services for children, young people and families",Caring,2
RVY,15/11/2016,"Community health services for children, young people and families",Responsive,1
RVY,15/11/2016,"Community health services for children, young people and families",Well-led,1
RVY,15/11/2016,"Community health services for children, young people and families",Overall,1
RVY,13/03/2018,Overall,Safe,1
RVY,13/03/2018,Overall,Effective,1
RVY,13/03/2018,Overall,Caring,2
RVY,13/03/2018,Overall,Responsive,1
RVY,13/03/2018,Overall,Well-led,0
RVY,13/03/2018,Overall,Overall,1
RVY,15/11/2016,Urgent care services,Safe,1
RVY,15/11/2016,Urgent care services,Effective,1
RVY,15/11/2016,Urgent care services,Caring,2
RVY,15/11/2016,Urgent care services,Responsive,2
RVY,15/11/2016,Urgent care services,Well-led,1
RVY,15/11/2016,Urgent care services,Overall,1
RW1,25/02/2015,Child and adolescent mental health wards,Safe,1
RW1,25/02/2015,Child and adolescent mental health wards,Effective,1
RW1,25/02/2015,Child and adolescent mental health wards,Caring,2
RW1,25/02/2015,Child and adolescent mental health wards,Responsive,2
RW1,25/02/2015,Child and adolescent mental health wards,Well-led,2
RW1,25/02/2015,Child and adolescent mental health wards,Overall,1
RW1,25/02/2015,Community health inpatient services,Safe,1
RW1,25/02/2015,Community health inpatient services,Effective,2
RW1,25/02/2015,Community health inpatient services,Caring,2
RW1,25/02/2015,Community health inpatient services,Responsive,2
RW1,25/02/2015,Community health inpatient services,Well-led,2
RW1,25/02/2015,Community health inpatient services,Overall,2
RW1,25/02/2015,Community health services for adults,Safe,1
RW1,25/02/2015,Community health services for adults,Effective,2
RW1,25/02/2015,Community health services for adults,Caring,2
RW1,25/02/2015,Community health services for adults,Responsive,1
RW1,25/02/2015,Community health services for adults,Well-led,2
RW1,25/02/2015,Community health services for adults,Overall,1
RW1,25/02/2015,"Community health services for children, young people and families",Safe,2
RW1,25/02/2015,"Community health services for children, young people and families",Effective,2
RW1,25/02/2015,"Community health services for children, young people and families",Caring,2
RW1,25/02/2015,"Community health services for children, young people and families",Responsive,2
RW1,25/02/2015,"Community health services for children, young people and families",Well-led,2
RW1,25/02/2015,"Community health services for children, young people and families",Overall,2
RW1,25/02/2015,Community mental health services for people with learning disabilities or autism,Safe,2
RW1,25/02/2015,Community mental health services for people with learning disabilities or autism,Effective,2
RW1,25/02/2015,Community mental health services for people with learning disabilities or autism,Caring,2
RW1,25/02/2015,Community mental health services for people with learning disabilities or autism,Responsive,2
RW1,25/02/2015,Community mental health services for people with learning disabilities or autism,Well-led,1
RW1,25/02/2015,Community mental health services for people with learning disabilities or autism,Overall,2
RW1,25/02/2015,Community-based mental health services for adults of working age,Safe,2
RW1,25/02/2015,Community-based mental health services for adults of working age,Effective,2
RW1,25/02/2015,Community-based mental health services for adults of working age,Caring,2
RW1,25/02/2015,Community-based mental health services for adults of working age,Responsive,2
RW1,25/02/2015,Community-based mental health services for adults of working age,Well-led,2
RW1,25/02/2015,Community-based mental health services for adults of working age,Overall,2
RW1,25/02/2015,Community-based mental health services for older people,Safe,2
RW1,25/02/2015,Community-based mental health services for older people,Effective,2
RW1,25/02/2015,Community-based mental health services for older people,Caring,2
RW1,25/02/2015,Community-based mental health services for older people,Responsive,2
RW1,25/02/2015,Community-based mental health services for older people,Well-led,2
RW1,25/02/2015,Community-based mental health services for older people,Overall,2
RW1,25/02/2015,End of life care,Safe,1
RW1,25/02/2015,End of life care,Effective,1
RW1,25/02/2015,End of life care,Caring,2
RW1,25/02/2015,End of life care,Responsive,2
RW1,25/02/2015,End of life care,Well-led,2
RW1,25/02/2015,End of life care,Overall,1
RW1,25/02/2015,Forensic inpatient/secure wards,Safe,0
RW1,25/02/2015,Forensic inpatient/secure wards,Overall,1
RW1,25/02/2015,Long stay/rehabilitation mental health wards for working age adults,Safe,2
RW1,25/02/2015,Long stay/rehabilitation mental health wards for working age adults,Effective,2
RW1,25/02/2015,Long stay/rehabilitation mental health wards for working age adults,Caring,2
RW1,25/02/2015,Long stay/rehabilitation mental health wards for working age adults,Responsive,2
RW1,25/02/2015,Long stay/rehabilitation mental health wards for working age adults,Well-led,2
RW1,25/02/2015,Long stay/rehabilitation mental health wards for working age adults,Overall,2
RW1,25/02/2015,Mental health crisis services and health-based places of safety,Safe,1
RW1,25/02/2015,Mental health crisis services and health-based places of safety,Effective,1
RW1,25/02/2015,Mental health crisis services and health-based places of safety,Caring,2
RW1,25/02/2015,Mental health crisis services and health-based places of safety,Responsive,1
RW1,25/02/2015,Mental health crisis services and health-based places of safety,Well-led,1
RW1,25/02/2015,Mental health crisis services and health-based places of safety,Overall,1
RW1,25/02/2015,Overall,Safe,1
RW1,25/02/2015,Overall,Effective,1
RW1,25/02/2015,Overall,Caring,2
RW1,25/02/2015,Overall,Responsive,2
RW1,25/02/2015,Overall,Well-led,1
RW1,25/02/2015,Overall,Overall,1
RW1,25/02/2015,Perinatal services,Safe,3
RW1,25/02/2015,Perinatal services,Effective,3
RW1,25/02/2015,Perinatal services,Caring,3
RW1,25/02/2015,Perinatal services,Responsive,3
RW1,25/02/2015,Perinatal services,Well-led,3
